,order_id,shop_guid,app_source,order_time,distance_km,prep_time_sec,traffic_sec,rain_flag,queue_size,prep_ahead_sec,eta_actual_min
29,ORD10029,SHOP_A,Robinhood,2025-04-27 13:46:00,5.53,428,191,1,249,178082,2977.8
873,ORD10873,SHOP_A,Robinhood,2025-04-27 13:46:00,6.75,1086,1112,1,250,178510,3009.9
992,ORD10992,SHOP_A,ShopeeFood,2025-04-27 13:46:00,2.14,596,217,0,251,179596,3009.5
231,ORD10231,SHOP_A,LINE_MAN,2025-04-27 13:47:00,3.43,619,1385,0,252,180192,3029.7
750,ORD10750,SHOP_A,Robinhood,2025-04-27 13:48:00,6.54,553,659,0,253,180811,3035.2
108,ORD10108,SHOP_A,LINE_MAN,2025-04-27 13:49:00,2.22,334,248,1,254,181364,3030.8
222,ORD10222,SHOP_A,ShopeeFood,2025-04-27 13:49:00,2.54,966,1506,1,255,181698,3069.2
379,ORD10379,SHOP_A,GrabFood,2025-04-27 13:49:00,5.33,405,1389,0,256,182664,3078.1
549,ORD10549,SHOP_A,Robinhood,2025-04-27 13:49:00,6.03,1184,229,1,257,183069,3073.5
86,ORD10086,SHOP_A,GrabFood,2025-04-27 13:50:00,1.96,885,1486,0,258,184253,3107.6
773,ORD10773,SHOP_A,ShopeeFood,2025-04-27 13:51:00,1.15,803,218,0,259,185138,3102.3
207,ORD10207,SHOP_A,LINE_MAN,2025-04-27 13:52:00,2.37,276,998,1,260,185941,3120.8
433,ORD10433,SHOP_A,ShopeeFood,2025-04-27 13:52:00,0.93,969,1087,0,261,186217,3136.2
921,ORD10921,SHOP_A,GrabFood,2025-04-27 13:52:00,1.9,936,862,0,262,187186,3147.2
474,ORD10474,SHOP_A,LINE_MAN,2025-04-27 13:55:00,4.15,427,1030,1,263,188122,3156.0
912,ORD10912,SHOP_A,GrabFood,2025-04-27 13:55:00,7.5,440,240,0,264,188549,3155.0
822,ORD10822,SHOP_A,GrabFood,2025-04-27 13:56:00,6.89,526,1664,0,265,188989,3184.2
220,ORD10220,SHOP_A,GrabFood,2025-04-27 13:57:00,1.59,544,201,0,266,189515,3173.9
470,ORD10470,SHOP_A,Robinhood,2025-04-27 13:58:00,1.63,430,545,1,267,190059,3185.6
675,ORD10675,SHOP_A,GrabFood,2025-04-27 13:58:00,2.74,610,1229,0,268,190489,3203.4
135,ORD10135,SHOP_A,Robinhood,2025-04-27 13:59:00,4.46,329,1138,0,269,191099,3207.3
731,ORD10731,SHOP_B,GrabFood,2025-04-27 10:01:00,6.0,944,431,0,0,0,19.4
695,ORD10695,SHOP_B,Robinhood,2025-04-27 10:02:00,1.96,596,189,0,1,944,27.9
715,ORD10715,SHOP_B,LINE_MAN,2025-04-27 10:02:00,3.91,1113,962,0,2,1540,63.3
79,ORD10079,SHOP_B,ShopeeFood,2025-04-27 10:03:00,1.33,953,1138,0,3,2653,75.9
570,ORD10570,SHOP_B,Robinhood,2025-04-27 10:03:00,7.55,468,975,0,4,3606,85.5
800,ORD10800,SHOP_B,ShopeeFood,2025-04-27 10:03:00,7.55,888,496,0,5,4074,97.0
848,ORD10848,SHOP_B,GrabFood,2025-04-27 10:03:00,6.7,609,454,0,6,4962,102.7
887,ORD10887,SHOP_B,ShopeeFood,2025-04-27 10:03:00,7.49,427,1322,0,7,5571,120.5
35,ORD10035,SHOP_B,ShopeeFood,2025-04-27 10:04:00,1.83,335,512,1,8,5998,115.0
987,ORD10987,SHOP_B,Robinhood,2025-04-27 10:04:00,5.55,1189,411,0,9,6333,132.4
85,ORD10085,SHOP_B,LINE_MAN,2025-04-27 10:06:00,4.33,611,1553,0,10,7522,158.6
453,ORD10453,SHOP_B,LINE_MAN,2025-04-27 10:06:00,1.88,664,1638,0,11,8133,175.2
484,ORD10484,SHOP_B,Robinhood,2025-04-27 10:06:00,4.91,326,195,0,12,8797,156.1
262,ORD10262,SHOP_B,ShopeeFood,2025-04-27 10:07:00,3.61,896,1634,0,13,9123,197.2
829,ORD10829,SHOP_B,ShopeeFood,2025-04-27 10:08:00,1.35,1136,761,0,14,10019,201.1
604,ORD10604,SHOP_B,GrabFood,2025-04-27 10:09:00,5.91,985,1726,0,15,11155,227.0
647,ORD10647,SHOP_B,GrabFood,2025-04-27 10:10:00,7.06,915,1311,1,16,12140,240.0
825,ORD10825,SHOP_B,LINE_MAN,2025-04-27 10:10:00,1.72,311,955,0,17,13055,235.9
866,ORD10866,SHOP_B,Robinhood,2025-04-27 10:10:00,7.23,489,1505,1,18,13366,260.7
727,ORD10727,SHOP_B,LINE_MAN,2025-04-27 10:14:00,3.7,1098,954,0,19,13855,261.4
568,ORD10568,SHOP_B,ShopeeFood,2025-04-27 10:15:00,6.73,611,939,0,20,14953,273.0
58,ORD10058,SHOP_B,Robinhood,2025-04-27 10:16:00,3.49,920,984,0,21,15564,289.5
70,ORD10070,SHOP_B,LINE_MAN,2025-04-27 10:16:00,1.08,1121,834,0,22,16484,308.6
226,ORD10226,SHOP_B,LINE_MAN,2025-04-27 10:18:00,0.67,532,418,0,23,17605,309.3
520,ORD10520,SHOP_B,GrabFood,2025-04-27 10:18:00,2.37,867,341,0,24,18137,318.7
599,ORD10599,SHOP_B,LINE_MAN,2025-04-27 10:19:00,6.15,421,1454,1,25,19004,351.6
729,ORD10729,SHOP_B,GrabFood,2025-04-27 10:20:00,3.89,1009,1024,0,26,19425,354.5
679,ORD10679,SHOP_B,GrabFood,2025-04-27 10:21:00,0.62,434,1438,0,27,20434,368.2
118,ORD10118,SHOP_B,GrabFood,2025-04-27 10:25:00,4.8,347,1215,0,28,20868,368.3
701,ORD10701,SHOP_B,LINE_MAN,2025-04-27 10:30:00,3.79,1087,579,0,29,21215,381.9
812,ORD10812,SHOP_B,ShopeeFood,2025-04-27 10:30:00,1.32,354,386,0,30,22302,383.9
156,ORD10156,SHOP_B,LINE_MAN,2025-04-27 10:33:00,2.35,733,476,1,31,22656,395.3
785,ORD10785,SHOP_B,GrabFood,2025-04-27 10:34:00,0.94,668,484,1,32,23389,404.8
163,ORD10163,SHOP_B,Robinhood,2025-04-27 10:36:00,6.76,659,345,0,33,24057,417.9
328,ORD10328,SHOP_B,GrabFood,2025-04-27 10:36:00,0.81,581,1282,0,34,24716,438.6
443,ORD10443,SHOP_B,LINE_MAN,2025-04-27 10:36:00,2.76,878,1128,0,35,25297,456.5
24,ORD10024,SHOP_B,LINE_MAN,2025-04-27 10:37:00,1.59,471,314,0,36,26175,452.9
553,ORD10553,SHOP_B,ShopeeFood,2025-04-27 10:37:00,2.22,1063,1695,0,37,26646,488.6
650,ORD10650,SHOP_B,LINE_MAN,2025-04-27 10:38:00,1.25,492,417,1,38,27709,478.0
685,ORD10685,SHOP_B,GrabFood,2025-04-27 10:38:00,4.54,1072,751,0,39,28201,503.3
805,ORD10805,SHOP_B,Robinhood,2025-04-27 10:38:00,1.78,722,366,1,40,29273,503.2
860,ORD10860,SHOP_B,Robinhood,2025-04-27 10:38:00,5.93,991,579,1,41,29995,529.6
989,ORD10989,SHOP_B,ShopeeFood,2025-04-27 10:40:00,2.47,706,1649,0,42,30986,558.7
649,ORD10649,SHOP_B,ShopeeFood,2025-04-27 10:42:00,3.73,1054,990,0,43,31692,561.8
164,ORD10164,SHOP_B,LINE_MAN,2025-04-27 10:44:00,4.34,520,545,0,44,32746,569.4
111,ORD10111,SHOP_B,LINE_MAN,2025-04-27 10:45:00,4.48,519,1132,0,45,33266,576.8
247,ORD10247,SHOP_B,ShopeeFood,2025-04-27 10:47:00,7.4,403,1420,0,46,33785,594.1
113,ORD10113,SHOP_B,GrabFood,2025-04-27 10:48:00,3.66,608,1167,0,47,34188,602.5
277,ORD10277,SHOP_B,ShopeeFood,2025-04-27 10:48:00,6.51,728,1741,0,48,34796,624.5
32,ORD10032,SHOP_B,Robinhood,2025-04-27 10:49:00,1.97,742,1557,0,49,35524,628.2
768,ORD10768,SHOP_B,ShopeeFood,2025-04-27 10:49:00,5.39,260,1773,0,50,36266,643.9
203,ORD10203,SHOP_B,Robinhood,2025-04-27 10:50:00,4.89,770,1762,0,51,36526,643.7
323,ORD10323,SHOP_B,ShopeeFood,2025-04-27 10:51:00,5.53,978,1529,0,52,37296,658.1
375,ORD10375,SHOP_B,LINE_MAN,2025-04-27 10:51:00,1.88,283,1236,0,53,38274,663.7
548,ORD10548,SHOP_B,Robinhood,2025-04-27 10:51:00,5.77,1166,379,0,54,38557,664.5
533,ORD10533,SHOP_B,ShopeeFood,2025-04-27 10:52:00,3.73,1139,878,0,55,39723,698.0
939,ORD10939,SHOP_B,ShopeeFood,2025-04-27 10:53:00,5.02,349,946,1,56,40862,705.7
936,ORD10936,SHOP_B,GrabFood,2025-04-27 10:55:00,3.6,1127,377,1,57,41211,707.1
646,ORD10646,SHOP_B,ShopeeFood,2025-04-27 10:57:00,4.12,369,844,0,58,42338,727.7
655,ORD10655,SHOP_B,ShopeeFood,2025-04-27 10:58:00,2.93,1184,698,0,59,42707,740.0
783,ORD10783,SHOP_B,GrabFood,2025-04-27 10:58:00,7.94,1092,912,0,60,43891,766.3
793,ORD10793,SHOP_B,ShopeeFood,2025-04-27 10:58:00,4.57,882,1150,0,61,44983,776.1
338,ORD10338,SHOP_B,LINE_MAN,2025-04-27 10:59:00,4.64,928,1480,1,62,45865,804.3
56,ORD10056,SHOP_B,LINE_MAN,2025-04-27 11:00:00,7.24,298,1254,0,63,46793,802.2
826,ORD10826,SHOP_B,ShopeeFood,2025-04-27 11:05:00,5.83,352,920,0,64,47091,804.5
426,ORD10426,SHOP_B,ShopeeFood,2025-04-27 11:06:00,1.36,393,277,0,65,47443,801.5
597,ORD10597,SHOP_B,GrabFood,2025-04-27 11:07:00,4.31,607,1235,0,66,47836,827.7
82,ORD10082,SHOP_B,LINE_MAN,2025-04-27 11:08:00,3.09,306,777,0,67,48443,825.9
854,ORD10854,SHOP_B,Robinhood,2025-04-27 11:08:00,6.54,884,1707,1,68,48749,853.2
406,ORD10406,SHOP_B,GrabFood,2025-04-27 11:09:00,5.58,405,1346,0,69,49633,854.1
458,ORD10458,SHOP_B,ShopeeFood,2025-04-27 11:09:00,4.18,527,250,0,70,50038,849.6
510,ORD10510,SHOP_B,GrabFood,2025-04-27 11:11:00,2.47,520,1042,0,71,50565,871.0
796,ORD10796,SHOP_B,LINE_MAN,2025-04-27 11:12:00,3.58,1004,1041,1,72,51085,884.6
530,ORD10530,SHOP_B,ShopeeFood,2025-04-27 11:13:00,6.73,561,1075,0,73,52089,896.3
216,ORD10216,SHOP_B,ShopeeFood,2025-04-27 11:16:00,1.19,860,978,0,74,52650,906.3
12,ORD10012,SHOP_B,LINE_MAN,2025-04-27 11:17:00,6.44,797,1371,0,75,53510,925.3
242,ORD10242,SHOP_B,Robinhood,2025-04-27 11:17:00,7.26,613,912,0,76,54307,929.2
337,ORD10337,SHOP_B,GrabFood,2025-04-27 11:19:00,2.5,946,276,1,77,54920,936.8
519,ORD10519,SHOP_B,ShopeeFood,2025-04-27 11:19:00,6.17,364,419,0,78,55866,939.3
547,ORD10547,SHOP_B,LINE_MAN,2025-04-27 11:20:00,2.45,272,1312,0,79,56230,960.5
745,ORD10745,SHOP_B,GrabFood,2025-04-27 11:20:00,0.72,883,798,0,80,56502,971.8
784,ORD10784,SHOP_B,GrabFood,2025-04-27 11:21:00,7.53,1031,962,1,81,57385,990.6
925,ORD10925,SHOP_B,Robinhood,2025-04-27 11:22:00,5.43,819,1155,0,82,58416,1009.9
180,ORD10180,SHOP_B,Robinhood,2025-04-27 11:23:00,2.56,476,1534,0,83,59235,1021.1
267,ORD10267,SHOP_B,LINE_MAN,2025-04-27 11:24:00,6.13,554,859,1,84,59711,1020.2
577,ORD10577,SHOP_B,GrabFood,2025-04-27 11:24:00,5.71,1097,1685,0,85,60265,1048.5
456,ORD10456,SHOP_B,LINE_MAN,2025-04-27 11:25:00,7.21,556,257,0,86,61362,1029.7
659,ORD10659,SHOP_B,Robinhood,2025-04-27 11:25:00,1.29,514,207,1,87,61918,1043.8
63,ORD10063,SHOP_B,Robinhood,2025-04-27 11:26:00,0.76,695,380,0,88,62432,1053.2
436,ORD10436,SHOP_B,Robinhood,2025-04-27 11:26:00,4.48,456,1076,0,89,63127,1077.3
114,ORD10114,SHOP_B,ShopeeFood,2025-04-27 11:29:00,7.93,298,488,1,90,63583,1074.2
658,ORD10658,SHOP_B,ShopeeFood,2025-04-27 11:31:00,7.13,1198,931,1,91,63881,1104.2
700,ORD10700,SHOP_B,Robinhood,2025-04-27 11:31:00,4.64,1084,611,0,92,65079,1113.7
852,ORD10852,SHOP_B,ShopeeFood,2025-04-27 11:34:00,7.64,1073,460,0,93,66163,1132.0
41,ORD10041,SHOP_B,GrabFood,2025-04-27 11:35:00,0.57,757,608,0,94,67236,1142.9
357,ORD10357,SHOP_B,GrabFood,2025-04-27 11:35:00,1.81,1009,1221,1,95,67993,1170.3
735,ORD10735,SHOP_B,ShopeeFood,2025-04-27 11:35:00,7.22,903,756,0,96,69002,1177.5
722,ORD10722,SHOP_B,Robinhood,2025-04-27 11:36:00,3.62,1146,1763,0,97,69905,1212.0
774,ORD10774,SHOP_B,ShopeeFood,2025-04-27 11:36:00,5.83,880,465,0,98,71051,1204.6
995,ORD10995,SHOP_B,LINE_MAN,2025-04-27 11:36:00,7.92,696,187,0,99,71931,1212.6
439,ORD10439,SHOP_B,GrabFood,2025-04-27 11:37:00,6.88,592,501,1,100,72627,1230.0
77,ORD10077,SHOP_B,GrabFood,2025-04-27 11:41:00,5.36,833,1072,1,101,73219,1254.1
609,ORD10609,SHOP_B,GrabFood,2025-04-27 11:41:00,5.78,916,1027,1,102,74052,1263.6
239,ORD10239,SHOP_B,Robinhood,2025-04-27 11:45:00,7.85,853,428,0,103,74968,1272.1
760,ORD10760,SHOP_B,Robinhood,2025-04-27 11:45:00,4.14,622,304,0,104,75821,1280.3
799,ORD10799,SHOP_B,ShopeeFood,2025-04-27 11:45:00,1.58,1088,1271,0,105,76443,1316.8
236,ORD10236,SHOP_B,ShopeeFood,2025-04-27 11:46:00,1.41,686,1177,0,106,77531,1325.5
506,ORD10506,SHOP_B,GrabFood,2025-04-27 11:48:00,4.98,843,1676,1,107,78217,1344.1
969,ORD10969,SHOP_B,LINE_MAN,2025-04-27 11:48:00,3.57,383,669,0,108,79060,1329.4
471,ORD10471,SHOP_B,LINE_MAN,2025-04-27 11:49:00,4.0,1118,1148,0,109,79443,1358.8
531,ORD10531,SHOP_B,LINE_MAN,2025-04-27 11:49:00,4.46,539,660,1,110,80561,1362.2
91,ORD10091,SHOP_B,LINE_MAN,2025-04-27 11:52:00,6.73,660,1540,1,111,81100,1389.5
28,ORD10028,SHOP_B,GrabFood,2025-04-27 11:55:00,1.91,1010,1263,0,112,81760,1400.9
50,ORD10050,SHOP_B,Robinhood,2025-04-27 11:55:00,5.17,481,426,1,113,82770,1400.5
318,ORD10318,SHOP_B,GrabFood,2025-04-27 11:56:00,5.85,1010,1679,0,114,83251,1435.6
449,ORD10449,SHOP_B,ShopeeFood,2025-04-27 11:56:00,5.96,526,589,0,115,84261,1421.6
782,ORD10782,SHOP_B,Robinhood,2025-04-27 11:56:00,6.36,1199,507,0,116,84787,1446.7
27,ORD10027,SHOP_B,ShopeeFood,2025-04-27 11:57:00,0.9,668,1182,0,117,85986,1460.3
717,ORD10717,SHOP_B,GrabFood,2025-04-27 11:57:00,4.18,620,955,0,118,86654,1469.2
230,ORD10230,SHOP_B,ShopeeFood,2025-04-27 11:58:00,1.83,893,395,0,119,87274,1473.4
677,ORD10677,SHOP_B,Robinhood,2025-04-27 11:58:00,4.3,1199,633,0,120,88167,1508.0
752,ORD10752,SHOP_B,ShopeeFood,2025-04-27 11:59:00,6.81,307,268,0,121,89366,1495.5
946,ORD10946,SHOP_B,Robinhood,2025-04-27 11:59:00,6.53,510,642,1,122,89673,1514.5
447,ORD10447,SHOP_B,LINE_MAN,2025-04-27 12:01:00,2.17,270,308,0,123,90183,1513.6
532,ORD10532,SHOP_B,Robinhood,2025-04-27 12:01:00,1.18,648,359,0,124,90453,1523.7
148,ORD10148,SHOP_B,Robinhood,2025-04-27 12:02:00,6.17,268,1321,0,125,91101,1546.2
341,ORD10341,SHOP_B,Robinhood,2025-04-27 12:04:00,5.85,640,751,0,126,91369,1548.1
680,ORD10680,SHOP_B,ShopeeFood,2025-04-27 12:04:00,4.69,936,1539,0,127,92009,1575.3
671,ORD10671,SHOP_B,GrabFood,2025-04-27 12:06:00,1.76,1063,770,1,128,92945,1574.8
294,ORD10294,SHOP_B,ShopeeFood,2025-04-27 12:07:00,6.12,322,760,0,129,94008,1584.6
354,ORD10354,SHOP_B,LINE_MAN,2025-04-27 12:07:00,3.48,832,1017,1,130,94330,1605.1
600,ORD10600,SHOP_B,ShopeeFood,2025-04-27 12:07:00,5.41,1046,661,0,131,95162,1614.3
119,ORD10119,SHOP_B,ShopeeFood,2025-04-27 12:10:00,4.57,572,1034,0,132,96208,1629.0
208,ORD10208,SHOP_B,Robinhood,2025-04-27 12:10:00,2.83,387,479,0,133,96780,1628.3
218,ORD10218,SHOP_B,GrabFood,2025-04-27 12:10:00,1.09,933,366,0,134,97167,1639.3
253,ORD10253,SHOP_B,Robinhood,2025-04-27 12:11:00,6.62,662,1711,1,135,98100,1677.6
859,ORD10859,SHOP_B,GrabFood,2025-04-27 12:12:00,5.82,675,757,0,136,98762,1673.4
964,ORD10964,SHOP_B,ShopeeFood,2025-04-27 12:13:00,4.86,721,1365,0,137,99437,1695.5
61,ORD10061,SHOP_B,Robinhood,2025-04-27 12:15:00,3.46,743,1297,0,138,100158,1696.4
741,ORD10741,SHOP_B,GrabFood,2025-04-27 12:16:00,0.54,791,1729,0,139,100901,1724.9
353,ORD10353,SHOP_B,Robinhood,2025-04-27 12:18:00,5.04,288,344,0,140,101692,1707.7
352,ORD10352,SHOP_B,GrabFood,2025-04-27 12:19:00,4.04,445,1546,0,141,101980,1737.5
789,ORD10789,SHOP_B,GrabFood,2025-04-27 12:19:00,7.01,395,1055,0,142,102425,1727.0
249,ORD10249,SHOP_B,ShopeeFood,2025-04-27 12:20:00,5.15,1181,1486,0,143,102820,1756.3
415,ORD10415,SHOP_B,LINE_MAN,2025-04-27 12:20:00,6.36,329,974,1,144,104001,1756.2
472,ORD10472,SHOP_B,LINE_MAN,2025-04-27 12:20:00,2.18,422,1543,0,145,104330,1772.6
832,ORD10832,SHOP_B,ShopeeFood,2025-04-27 12:21:00,7.96,828,396,0,146,104752,1763.4
425,ORD10425,SHOP_B,Robinhood,2025-04-27 12:23:00,1.41,1137,1174,0,147,105580,1801.6
142,ORD10142,SHOP_B,ShopeeFood,2025-04-27 12:25:00,2.23,471,529,1,148,106717,1799.0
153,ORD10153,SHOP_B,GrabFood,2025-04-27 12:25:00,3.9,387,313,0,149,107188,1799.5
284,ORD10284,SHOP_B,ShopeeFood,2025-04-27 12:25:00,2.49,1000,955,0,150,107575,1823.9
514,ORD10514,SHOP_B,ShopeeFood,2025-04-27 12:25:00,2.69,592,274,0,151,108575,1825.0
188,ORD10188,SHOP_B,ShopeeFood,2025-04-27 12:26:00,3.04,548,1119,0,152,109167,1849.6
360,ORD10360,SHOP_B,ShopeeFood,2025-04-27 12:26:00,7.27,1036,1611,1,153,109715,1872.2
49,ORD10049,SHOP_B,LINE_MAN,2025-04-27 12:27:00,4.56,1167,844,0,154,110751,1877.6
576,ORD10576,SHOP_B,GrabFood,2025-04-27 12:27:00,4.33,627,342,1,155,111918,1881.8
687,ORD10687,SHOP_B,LINE_MAN,2025-04-27 12:27:00,4.53,814,372,1,156,112545,1897.4
38,ORD10038,SHOP_B,ShopeeFood,2025-04-27 12:28:00,5.72,470,1225,0,157,113359,1915.5
391,ORD10391,SHOP_B,ShopeeFood,2025-04-27 12:35:00,3.83,995,503,0,158,113829,1924.9
189,ORD10189,SHOP_B,LINE_MAN,2025-04-27 12:38:00,0.59,317,721,0,159,114824,1928.0
444,ORD10444,SHOP_B,ShopeeFood,2025-04-27 12:40:00,2.61,1010,282,0,160,115141,1938.7
696,ORD10696,SHOP_B,Robinhood,2025-04-27 12:40:00,5.37,1176,1519,1,161,116151,1980.9
733,ORD10733,SHOP_B,Robinhood,2025-04-27 12:42:00,6.74,630,1386,0,162,117327,1983.9
409,ORD10409,SHOP_B,LINE_MAN,2025-04-27 12:43:00,1.24,794,311,1,163,117957,1985.2
673,ORD10673,SHOP_B,Robinhood,2025-04-27 12:44:00,3.76,301,840,0,164,118751,1998.2
862,ORD10862,SHOP_B,Robinhood,2025-04-27 12:44:00,3.3,272,1752,0,165,119052,2022.1
551,ORD10551,SHOP_B,LINE_MAN,2025-04-27 12:45:00,5.59,397,227,0,166,119324,1997.8
842,ORD10842,SHOP_B,GrabFood,2025-04-27 12:50:00,7.57,388,488,0,167,119721,2010.1
412,ORD10412,SHOP_B,Robinhood,2025-04-27 12:52:00,6.25,933,1464,0,168,120109,2048.3
524,ORD10524,SHOP_B,ShopeeFood,2025-04-27 12:52:00,0.6,1151,1645,0,169,121042,2063.5
747,ORD10747,SHOP_B,LINE_MAN,2025-04-27 12:54:00,3.0,906,612,0,170,122193,2059.7
996,ORD10996,SHOP_B,Robinhood,2025-04-27 12:54:00,1.99,875,1644,1,171,123099,2089.9
195,ORD10195,SHOP_B,Robinhood,2025-04-27 12:55:00,7.34,678,1625,1,172,123974,2102.1
205,ORD10205,SHOP_B,LINE_MAN,2025-04-27 12:55:00,2.85,637,395,0,173,124652,2094.0
235,ORD10235,SHOP_B,Robinhood,2025-04-27 12:55:00,5.55,431,1460,1,174,125289,2118.4
279,ORD10279,SHOP_B,LINE_MAN,2025-04-27 12:55:00,1.6,844,1126,0,175,125720,2126.4
974,ORD10974,SHOP_B,Robinhood,2025-04-27 12:56:00,3.74,1129,1128,0,176,126564,2152.1
917,ORD10917,SHOP_B,GrabFood,2025-04-27 12:57:00,5.66,275,727,0,177,127693,2144.1
133,ORD10133,SHOP_B,LINE_MAN,2025-04-27 13:01:00,3.84,969,1303,1,178,127968,2168.1
976,ORD10976,SHOP_B,Robinhood,2025-04-27 13:02:00,5.52,556,812,0,179,128937,2171.9
57,ORD10057,SHOP_B,GrabFood,2025-04-27 13:03:00,1.17,412,1271,0,180,129493,2189.6
152,ORD10152,SHOP_B,GrabFood,2025-04-27 13:03:00,2.42,413,760,1,181,129905,2186.9
622,ORD10622,SHOP_B,Robinhood,2025-04-27 13:04:00,4.26,444,1598,1,182,130318,2208.2
714,ORD10714,SHOP_B,ShopeeFood,2025-04-27 13:04:00,3.25,742,807,0,183,130762,2206.5
648,ORD10648,SHOP_B,Robinhood,2025-04-27 13:05:00,2.7,421,211,0,184,131504,2197.0
167,ORD10167,SHOP_B,Robinhood,2025-04-27 13:06:00,4.23,867,904,0,185,131925,2222.5
517,ORD10517,SHOP_B,GrabFood,2025-04-27 13:06:00,7.04,464,732,0,186,132792,2229.5
898,ORD10898,SHOP_B,Robinhood,2025-04-27 13:07:00,5.24,1006,970,1,187,133256,2251.1
664,ORD10664,SHOP_B,LINE_MAN,2025-04-27 13:08:00,2.1,908,427,0,188,134262,2259.2
124,ORD10124,SHOP_B,Robinhood,2025-04-27 13:09:00,1.99,1040,1524,0,189,135170,2298.9
170,ORD10170,SHOP_B,GrabFood,2025-04-27 13:09:00,5.28,844,415,0,190,136210,2291.7
417,ORD10417,SHOP_B,ShopeeFood,2025-04-27 13:10:00,5.12,747,1703,0,191,137054,2330.6
617,ORD10617,SHOP_B,ShopeeFood,2025-04-27 13:12:00,5.25,964,1700,0,192,137801,2343.8
945,ORD10945,SHOP_B,GrabFood,2025-04-27 13:13:00,7.4,245,1043,1,193,138765,2331.2
930,ORD10930,SHOP_B,ShopeeFood,2025-04-27 13:18:00,2.43,992,1266,0,194,139010,2357.7
198,ORD10198,SHOP_B,GrabFood,2025-04-27 13:19:00,7.18,967,776,0,195,140002,2359.3
770,ORD10770,SHOP_B,LINE_MAN,2025-04-27 13:19:00,2.69,1105,1668,0,196,140969,2394.8
689,ORD10689,SHOP_B,GrabFood,2025-04-27 13:22:00,7.61,1199,243,0,197,142074,2394.4
820,ORD10820,SHOP_B,Robinhood,2025-04-27 13:22:00,1.48,588,251,0,198,143273,2401.9
545,ORD10545,SHOP_B,ShopeeFood,2025-04-27 13:24:00,3.59,957,1195,0,199,143861,2432.6
927,ORD10927,SHOP_B,ShopeeFood,2025-04-27 13:24:00,7.78,968,383,0,200,144818,2433.0
482,ORD10482,SHOP_B,LINE_MAN,2025-04-27 13:25:00,2.62,984,1506,0,201,145786,2475.8
539,ORD10539,SHOP_B,GrabFood,2025-04-27 13:25:00,5.83,759,669,0,202,146770,2467.8
179,ORD10179,SHOP_B,GrabFood,2025-04-27 13:27:00,1.78,1043,1285,0,203,147529,2494.8
223,ORD10223,SHOP_B,ShopeeFood,2025-04-27 13:28:00,3.65,943,1588,0,204,148572,2519.8
19,ORD10019,SHOP_B,Robinhood,2025-04-27 13:29:00,3.73,987,517,0,205,149515,2517.5
234,ORD10234,SHOP_B,ShopeeFood,2025-04-27 13:29:00,2.24,825,1273,0,206,150502,2547.4
15,ORD10015,SHOP_B,LINE_MAN,2025-04-27 13:30:00,5.05,1034,714,0,207,151327,2552.8
478,ORD10478,SHOP_B,Robinhood,2025-04-27 13:30:00,3.42,457,420,0,208,152361,2553.0
839,ORD10839,SHOP_B,GrabFood,2025-04-27 13:30:00,6.64,698,786,0,209,152818,2568.0
190,ORD10190,SHOP_B,ShopeeFood,2025-04-27 13:34:00,0.86,711,1009,0,210,153516,2586.1
571,ORD10571,SHOP_B,GrabFood,2025-04-27 13:35:00,2.94,252,1339,0,211,154227,2593.6
80,ORD10080,SHOP_B,LINE_MAN,2025-04-27 13:38:00,6.96,971,1217,1,212,154479,2613.3
676,ORD10676,SHOP_B,ShopeeFood,2025-04-27 13:38:00,4.03,1099,1709,1,213,155450,2637.6
397,ORD10397,SHOP_B,GrabFood,2025-04-27 13:39:00,2.37,1057,577,0,214,156549,2634.3
610,ORD10610,SHOP_B,Robinhood,2025-04-27 13:39:00,4.29,707,1589,1,215,157606,2664.6
452,ORD10452,SHOP_B,LINE_MAN,2025-04-27 13:40:00,3.84,1096,1566,1,216,158313,2679.9
578,ORD10578,SHOP_B,GrabFood,2025-04-27 13:41:00,2.86,533,1437,0,217,159409,2690.6
325,ORD10325,SHOP_B,GrabFood,2025-04-27 13:43:00,1.49,720,1389,1,218,159942,2694.5
575,ORD10575,SHOP_B,Robinhood,2025-04-27 13:43:00,6.79,246,313,0,219,160662,2683.1
877,ORD10877,SHOP_B,Robinhood,2025-04-27 13:43:00,4.41,1070,249,0,220,160908,2706.8
276,ORD10276,SHOP_B,ShopeeFood,2025-04-27 13:46:00,0.9,759,1094,0,221,161978,2728.7
445,ORD10445,SHOP_B,LINE_MAN,2025-04-27 13:46:00,7.97,355,1040,0,222,162737,2735.7
857,ORD10857,SHOP_B,GrabFood,2025-04-27 13:46:00,6.2,882,1291,0,223,163092,2757.1
855,ORD10855,SHOP_B,ShopeeFood,2025-04-27 13:47:00,7.7,794,819,0,224,163974,2758.8
997,ORD10997,SHOP_B,ShopeeFood,2025-04-27 13:47:00,3.87,262,1360,1,225,164768,2775.3
310,ORD10310,SHOP_B,LINE_MAN,2025-04-27 13:49:00,1.28,479,1546,0,226,165030,2783.6
17,ORD10017,SHOP_B,Robinhood,2025-04-27 13:50:00,4.13,959,894,1,227,165509,2794.1
984,ORD10984,SHOP_B,LINE_MAN,2025-04-27 13:50:00,7.15,684,522,0,228,166468,2795.7
240,ORD10240,SHOP_B,Robinhood,2025-04-27 13:53:00,5.64,1094,665,0,229,167152,2819.2
